hour,day_of_week,is_weekend,is_night,log_amount,near_limit,is_p2p,is_merchant,is_bill,velocity_1h,velocity_24h,sender_pagerank,sender_in_degree,sender_out_degree,receiver_pagerank,receiver_in_degree,is_fraud
0,0,0,1,5.735281141715572,0,1,0,0,1,1,0.00012863045402028956,11,9,0.0002766207764337694,15,0
0,0,0,1,9.157162144322848,0,1,0,0,1,1,0.0003156530439373041,13,7,0.00038060312880510414,10,0
0,0,0,1,5.279236478735244,0,1,0,0,1,1,0.00019011352496473209,7,11,0.00013857350009282773,12,0
0,0,0,1,7.2653527972182985,0,1,0,0,1,1,0.00016266594609087807,11,9,0.00010527520160011056,5,0
1,0,0,1,11.19422839595565,0,1,0,0,1,1,0.00022002090888195217,17,10,0.0001539507387332192,5,1
1,0,0,1,6.138633770324603,0,0,0,1,1,1,0.00011811310089828867,10,12,0.00016065104016150942,8,0
1,0,0,1,7.431779417880862,0,1,0,0,1,1,0.00016629004034535318,7,14,0.00020109329606432828,14,0
1,0,0,1,6.793936873781919,0,1,0,0,1,1,0.00012108261915374001,7,11,0.0003216842019923974,8,0
2,0,0,1,6.20316285073745,0,1,0,0,1,1,0.00010080228579445482,7,12,0.00040989110030420186,9,0
4,0,0,1,5.13826597839981,0,0,0,1,1,1,0.00038060312880510414,10,11,0.0001705587406312067,8,0
5,0,0,1,7.668495685315131,0,1,0,0,1,1,0.00010058767145034327,6,19,8.085129171367417e-05,6,0
5,0,0,1,7.130570776492581,0,0,0,1,1,1,0.0002307317570840668,10,12,0.00011218424623434335,6,0
5,0,0,1,6.15213677249688,0,1,0,0,1,1,0.00019180113380958347,11,6,0.0001885898989961881,13,0
5,0,0,1,5.777497512478481,0,1,0,0,1,1,9.507114917190208e-05,3,18,0.00011460576074851704,7,0
5,0,0,1,5.609654928598163,0,1,0,0,1,1,0.00023098518526715905,12,8,0.000334545680560097,20,1
5,0,0,1,10.966227228561074,0,1,0,0,1,1,0.000571706817147067,17,8,0.00019450426710783438,10,1
5,0,0,1,5.570479627341781,0,0,1,0,1,1,0.0001683847183378598,10,8,0.00015403795075119578,6,0
6,0,0,0,5.961803989689555,0,1,0,0,1,1,0.0001252148141395334,7,16,0.0002911245444487096,13,0
6,0,0,0,7.1602634389262505,0,1,0,0,1,1,0.00017959898936689437,13,4,0.0002804233513885394,11,0
6,0,0,0,7.95061169919529,0,1,0,0,1,1,0.00011701496390552776,4,9,0.00010199041119438477,8,0
6,0,0,0,7.136451386285992,0,1,0,0,1,1,0.0001222458341006396,7,10,0.0004092345755290602,16,0
6,0,0,0,5.058663263106837,0,1,0,0,1,1,0.0002649438134066091,12,10,0.0004457848718006386,19,0
6,0,0,0,5.742297810884534,0,1,0,0,1,1,8.600143487227872e-05,8,6,0.00014171800203583747,11,0
6,0,0,0,8.2951415437582,0,1,0,0,1,1,0.00022317006584399865,8,9,0.0002901774616094181,12,0
6,0,0,0,6.1980517961064745,0,1,0,0,1,1,0.00012652572332842268,8,16,0.0001729576750459887,10,0
6,0,0,0,8.336507895217476,0,1,0,0,1,1,0.00025091186859808596,16,13,0.0004161479878030542,15,0
6,0,0,0,7.607197603479761,0,1,0,0,1,1,0.00017739608613491552,10,14,0.0003894261811205986,19,1
6,0,0,0,6.839455024723344,0,1,0,0,1,1,0.0001745527206746415,7,7,0.00011928000571198591,8,0
7,0,0,0,5.678396288265786,0,1,0,0,1,1,0.00017225983331140956,9,17,0.0002022581054198346,12,0
7,0,0,0,7.273259133137689,0,0,0,1,1,1,0.00011409875096069692,5,11,0.00019712145778458219,14,0
7,0,0,0,5.547596391466873,0,1,0,0,1,1,0.0002922893766907593,16,6,0.00016266594609087807,11,0
7,0,0,0,7.654552225268864,0,1,0,0,1,1,0.0002607844273219519,7,14,0.00010832655608750012,10,0
7,0,0,0,7.927919421321105,0,1,0,0,1,1,0.00015573529569599975,7,12,0.00034773126227581277,19,1
7,0,0,0,5.864142408532632,0,1,0,0,1,1,8.223765093053985e-05,5,10,0.00014592839877631658,9,0
7,0,0,0,5.913611107903118,0,0,1,0,1,1,0.00043200208348167526,9,14,0.00012115348366007008,9,0
7,0,0,0,6.953837016769142,0,1,0,0,1,1,0.0003196344733744726,10,11,0.0002000288665755351,9,0
7,0,0,0,7.378833330829138,0,1,0,0,1,1,0.0002473171319295533,13,9,0.00020039052496698836,18,1
7,0,0,0,5.31231888618385,0,1,0,0,1,1,0.00028900981859052366,10,11,0.00030611711767030054,7,0
7,0,0,0,5.561450566078405,0,0,1,0,1,1,0.00011717687528115507,4,12,0.0002766207764337694,15,0
7,0,0,0,6.921668046035439,0,1,0,0,1,1,0.00012383823785001678,8,6,0.00024115183672984732,2,0
7,0,0,0,6.388275650435813,0,1,0,0,1,1,0.00016979167384456904,7,10,0.00025765110137911036,9,0
7,0,0,0,5.043167019098741,0,0,0,1,1,1,0.0001569653018507465,8,9,0.00033402858556983784,20,0
7,0,0,0,6.008198746099147,0,0,1,0,1,2,0.00010058767145034327,6,19,0.00012742265999808014,13,0
7,0,0,0,6.6615861622819095,0,0,1,0,1,2,0.00011811310089828867,10,12,0.00011211606241400155,10,0
7,0,0,0,7.581643184603271,0,1,0,0,1,1,0.00019548990253067517,8,8,0.00024169812079994225,7,0
7,0,0,0,7.6127915039344956,0,0,0,1,1,1,0.00010700120383497558,8,5,0.0003807319993512623,14,0
7,0,0,0,5.777992822521732,0,1,0,0,1,1,0.00015553269656711478,12,9,0.0002840321702755341,12,0
7,0,0,0,7.197944206645099,0,0,0,1,1,1,0.00019344953703314687,12,6,0.0004446962588549188,9,0
7,0,0,0,5.497987561676604,0,0,1,0,1,1,0.00012020606361070806,3,11,0.00019321079625815734,11,0
7,0,0,0,5.965967235834453,0,0,1,0,1,1,7.139321076441807e-05,7,12,0.00016352877523532274,9,0
7,0,0,0,11.490257163368675,1,1,0,0,1,1,0.00035798274847956594,17,14,0.0002373070405040995,11,1
8,0,0,0,7.831529936294037,0,1,0,0,1,1,0.00021873231118114194,13,8,0.0007162910001131115,20,0
8,0,0,0,8.94055715501216,0,1,0,0,1,1,0.0003372731710632001,9,11,0.0003522202059754047,17,0
8,0,0,0,6.008911460711703,0,1,0,0,1,1,0.00012116839372126695,8,11,0.0005223935723830903,19,0
8,0,0,0,6.158037746933798,0,0,1,0,1,1,0.00013568248619394825,9,15,0.00023479582019835175,9,0
8,0,0,0,3.9646154555473165,0,1,0,0,1,1,0.0002760301382133968,9,7,0.00017348319951840757,7,0
8,0,0,0,6.435605348077976,0,1,0,0,1,1,0.0003928687104831793,25,11,0.00011158395426992174,7,0
8,0,0,0,6.480887764613537,0,0,1,0,1,1,0.00010879631629005527,11,9,0.00029633500109177717,13,0
8,0,0,0,7.0644427384613655,0,0,1,0,1,1,0.0001658925487894748,6,18,0.00026322083275843344,18,1
8,0,0,0,7.377083680312805,0,1,0,0,1,1,0.00019471694883916492,14,8,0.00023048974398870846,15,0
8,0,0,0,10.84182936536309,0,1,0,0,1,1,0.00020178181230195378,20,15,0.00010490146554047385,7,1
8,0,0,0,7.108530514434339,0,1,0,0,1,1,0.00023159442822512287,14,17,0.00028439914990483075,14,0
8,0,0,0,6.651429744626835,0,1,0,0,1,1,0.00033968967176436793,12,15,0.00034466294288154663,18,0
8,0,0,0,7.027891100222117,0,1,0,0,1,1,0.00029701107565366245,17,13,0.0001460154453732608,10,0
8,0,0,0,6.674270945598603,0,1,0,0,1,1,7.805000865548942e-05,8,9,0.0002975963954754398,14,0
8,0,0,0,5.350435320810143,0,0,1,0,1,1,0.0001739247571046334,12,12,9.908178006369929e-05,7,0
8,0,0,0,6.379122036566182,0,0,1,0,1,1,0.00011567713906714023,7,10,0.00023037074314181556,9,0
8,0,0,0,5.41916237624024,0,0,1,0,1,1,0.00010169077753522389,9,6,0.0002584839793439432,12,0
8,0,0,0,7.11266153722505,0,1,0,0,1,1,0.0001213421042132459,5,14,9.131746967395067e-05,12,0
8,0,0,0,4.729244501090018,0,0,1,0,1,1,7.755749953448122e-05,6,10,0.00020289589175326848,8,0
8,0,0,0,8.158562049655282,0,1,0,0,1,1,0.0001475030446976946,5,8,8.07189968612033e-05,6,0
8,0,0,0,6.9363913255184695,0,1,0,0,1,1,0.00019678240816795836,12,16,0.000188599876586289,11,0
8,0,0,0,5.839478190110101,0,0,1,0,1,1,5.803987539479989e-05,8,14,0.00017189093985242888,9,0
8,0,0,0,4.300816579248338,0,1,0,0,1,1,0.0002946651333465251,10,10,0.0003175903874604975,15,0
8,0,0,0,6.554132814341683,0,0,1,0,1,1,0.00026150558762908746,19,10,0.0002429041344981021,15,1
8,0,0,0,4.06971028126374,0,0,1,0,1,1,0.00011753711221400836,8,8,0.00034139063477282367,13,0
9,0,0,0,8.816885847180457,0,1,0,0,1,1,0.00022304882116488633,7,15,0.0001711346740394579,7,0
9,0,0,0,6.794172161309965,0,1,0,0,1,1,0.00037634475884871713,9,15,0.00012348344764852732,5,0
9,0,0,0,5.854985958622278,0,0,0,1,1,1,0.00011093256337834373,9,10,8.451272937021351e-05,6,0
9,0,0,0,7.87960180785829,0,1,0,0,1,1,0.00015868579937423604,12,6,0.00036732371698857205,23,0
9,0,0,0,8.417704292915495,0,1,0,0,1,1,0.00021218110798337531,14,10,0.00023690018852400192,11,0
9,0,0,0,5.810841546949609,0,1,0,0,1,1,0.00013305788888598116,8,6,0.0003004203194860861,7,0
9,0,0,0,6.931803781739276,0,1,0,0,1,1,0.0001727868666992029,8,8,0.00010179884665177608,8,0
9,0,0,0,6.6261878075302105,0,0,1,0,1,1,9.325827629552283e-05,5,8,0.00018209415481706932,11,0
9,0,0,0,5.440944764797792,0,1,0,0,1,1,0.00035878152124093894,14,9,0.0005597026249487032,12,0
